MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCCVariance1,MFCCVariance2,MFCCVariance3,MFCCVariance4,MFCCVariance5,MFCCVariance6,MFCCVariance7,MFCCVariance8,MFCCVariance9,MFCCVariance10,MFCCVariance11,MFCCVariance12,MFCCVariance13,energy,duration,Acoustic1,Acoustic2,Acoustic3,Acoustic4,Acoustic5,Acoustic6,Acoustic7,Acoustic8,Acoustic9,Acoustic10,Acoustic11,Acoustic12,Acoustic13,Acoustic14,Acoustic15,Acoustic16,Acoustic17,Acoustic18,Acoustic19,Acoustic20,Acoustic21,Acoustic22,Acoustic23,Acoustic24,Acoustic25,Acoustic26,Acoustic27,Acoustic28
0.997317748,-0.572408942,-0.720665391,-1.1632176,-0.850646303,-1.14822515,-1.55011399,-1.53340301,-1.47097853,-1.49859849,-1.4357336,-1.41524574,-1.48419212,-1.18405255,-0.075561655,-0.2850339,0.075807791,-0.845731582,-0.396218099,0.791821807,0.977451438,-0.248688625,-0.361855451,0.890957237,0.592544471,0.822652604,1.55751238,0.225766034,-0.990804396,-0.949349479,-0.757572839,-0.948111025,-0.955341779,-0.864327249,0.083550836,0.070649553,0.26451254,0.333746242,1.10415158,0.695171751,-0.458646786,-0.60083475,-0.618636483,-0.078465369,-1.13607038,-0.179021302,-1.11788684,-0.93205797,-1.06684861,-0.487173365,-0.473283655,-0.563363651,-0.439575815,-0.38706719,0.043777306,-0.533888914
0.906143702,0.320684645,-1.32411047,-0.495554429,-0.613854121,-0.773773707,-1.15925772,-1.29396323,-1.07686321,-1.16009679,-1.16963048,-1.16648441,-1.08011608,-0.516216021,-0.787600115,-0.599362044,-0.137925285,-0.425695986,-0.698535016,-0.885062228,-0.306908931,-0.744952936,0.529672932,-0.733310025,0.054575989,-0.842571315,1.05189096,0.16919408,-1.30631405,-1.44186312,-0.819574039,-0.919124891,-1.18273893,-1.11097022,-0.010810536,-0.0355844,0.154188904,0.239893317,0.156055115,-0.103165657,-1.22436764,-0.650673408,-1.33018379,-1.03839436,-1.25109866,-0.162702402,-1.11788684,-1.35835431,0.61057173,-1.44298444,-1.44982364,-0.781091803,-0.439575815,-0.524110633,-0.05293449,-0.533888914
1.09898165,0.286484393,-0.686235397,-0.822847454,-0.546715431,-0.61811871,-0.513654347,-0.88268937,-0.909163885,-0.986096498,-1.00639995,-0.840765728,-0.777603202,-0.740131748,-0.96035467,-0.328806095,0.222043103,-0.124455363,0.035253124,-1.4480592,0.178983903,-0.086826358,0.257717006,-0.324494731,0.357110577,-0.100996767,1.00597198,0.606340995,-0.809978126,-0.874191637,-0.637554836,-0.498298953,-0.604470909,-0.563204362,0.49647789,0.203814507,0.464304744,0.538692783,0.645927565,0.458805595,0.574582996,-0.312060327,0.418713946,0.940636284,-0.987773896,-0.179021302,-1.11788684,-0.496089892,0.61057173,-0.396398012,-0.403911961,0.524616485,-0.439575815,-0.524110633,-0.05293449,-0.533888914
0.929360413,0.344470938,-1.59588678,-0.576445136,-0.77853735,-1.1564644,-1.03119832,-1.18474355,-1.35276073,-1.19196581,-1.31083654,-1.23273533,-1.18129686,0.03608866,-0.361214297,-1.04702771,-2.52088599,0.894217483,0.324053287,-0.94780535,-0.768777503,0.534019692,-0.557487278,-0.022513682,-0.05801721,0.204211635,0.94005795,-0.417097075,-1.34713595,-1.52198776,-0.842498354,-0.887165284,-1.21153614,-1.1467491,-0.390133879,-0.489526703,-0.289290835,-0.121485978,1.64870932,1.89872667,-1.79937151,-1.24939876,-2.03894225,-1.37493085,-1.30602115,-0.157548823,-1.11788684,-1.37383388,0.61057173,-1.54443924,-1.55121304,-0.584112497,-0.439575815,-0.510406289,-0.043263311,-0.533888914
1.32076027,0.186295739,-0.962546428,-1.14073553,-0.86794121,-1.04045966,-1.41101582,-1.60748627,-1.26838055,-1.49213895,-1.43598471,-1.31187115,-1.37038418,-0.724700843,-0.128976689,-0.067865714,0.046047803,0.292072865,1.1747667,0.668520929,0.452804301,-0.671905847,0.391039501,0.642328049,0.622445901,0.536995389,2.78870852,0.524054517,-1.21612961,-1.22299822,-0.861949052,-0.937762405,-1.17136464,-1.09587218,0.226362552,0.23118491,0.297412871,0.285619477,1.27824536,0.857197571,-1.07984393,-0.369367435,-1.10869649,-0.496614323,-0.85282285,-0.187876119,-1.11788684,-1.04846811,-1.06684861,-0.391058285,-0.377230541,-0.818977201,-0.439575815,-0.524110633,-0.05293449,-0.533888914
1.21708498,0.106779962,-0.829344035,-0.855978643,-1.00328165,-0.924237419,-1.25001805,-1.33383573,-1.34316413,-1.37188445,-1.43207092,-1.33854701,-1.30899712,-0.274972869,-0.794810348,0.165258247,0.641264716,-0.732864867,2.67913135,-0.209766533,0.5431259,0.573507411,-0.332487481,0.11811006,0.187666308,0.273001992,1.35263534,-0.062236639,-0.662799841,-0.778562913,-0.659174352,-0.887833185,-0.278668677,-0.153923242,-0.089390016,-0.168910226,-0.135413497,-0.09244507,0.881772868,0.456074142,0.059112344,-0.863381693,-0.23627978,0.593332892,-0.976735798,-0.177696973,-1.11788684,-0.454896812,0.61057173,-0.391058285,-0.398575677,-0.572639198,-0.439575815,-0.524110633,-0.05293449,-0.533888914
0.978780812,0.385114994,-1.4230897,-0.707371735,-0.690569863,-1.18885359,-1.21774128,-1.23586312,-1.34013811,-1.12471285,-1.31155246,-1.21512718,-1.17552758,-0.504976571,-1.83682178,0.806466162,-0.2420519,-0.077462673,0.013364722,-0.06414424,-0.756214426,-1.00119447,0.001569322,0.143061709,0.286088197,-0.547384144,1.04042615,-0.262809929,-1.09023422,-1.05551775,-0.746668952,-0.622707532,-1.15043814,-1.12421448,-0.467205674,-0.459799521,-0.398243976,-0.293706577,0.521982158,0.330334278,-0.727254999,-1.08067259,-1.01878425,-0.087648985,-1.01635767,-0.124392789,-1.11788684,-1.21506322,-1.06684861,-0.593967899,-0.580009336,-1.07138234,-0.439575815,-0.524110633,-0.05293449,-0.533888914
0.949450669,0.942606017,-1.18642904,-0.690488609,-0.366848959,-0.852789413,-0.748820764,-0.900403251,-1.08251178,-1.00459936,-1.04351975,-0.871913531,-0.876378686,-2.17589546,0.627682297,0.098116446,0.576304905,-0.213439721,0.359154598,-0.635316557,-0.987836564,-0.957296931,0.861488846,0.999364804,-0.640718778,0.382618367,0.901400396,0.39033899,-0.975790109,-0.83717027,-0.857870245,-0.952651184,-1.00579076,-0.917283601,0.177909165,0.096366109,0.341334643,0.427605397,1.78863508,1.43012978,-0.784638092,-0.469220228,-0.872065587,0.106612714,-1.09807864,-0.179665886,-1.11788684,-0.305186816,0.191216644,-0.401737739,-0.403911961,0.114994102,-0.439575815,-0.524110633,-0.05293449,-0.533888914
0.863011274,0.392697524,-0.95456134,-0.489387782,-0.738192204,-0.780267875,-1.01066317,-1.26085694,-1.08498082,-1.18693806,-1.14095265,-1.21250572,-1.0970696,-0.104638962,-0.582351917,-0.600389851,0.580220443,-0.581455398,1.07225235,0.696623899,-0.906222001,-1.24760456,0.423219069,0.012038304,0.138899705,0.02422338,1.11408327,-0.41195417,-0.862012646,-0.807959451,-0.789496085,-0.925867423,-0.810508042,-0.713774523,-0.5303392,-0.512875504,-0.430801475,-0.308570097,0.867885838,0.451290142,-0.189684512,-1.2483974,-0.589357464,0.664913971,-0.850328992,-0.119211223,-1.11788684,-0.701575383,-0.228138442,-0.401737739,-0.398575677,-0.70325829,-0.439575815,-0.524110633,-0.05293449,-0.533888914
0.606931584,0.356996925,-0.509868614,-0.665363653,-0.224154142,-0.741987494,-0.770842552,-0.928876744,-0.892307786,-0.902635163,-0.875165035,-0.797111219,-0.771676575,-0.381854236,0.294262545,1.73616712,0.265784703,-0.494908057,0.008983569,0.388192857,-0.147989452,-0.855776485,-0.264319385,-0.024103704,-0.438998297,-0.610078556,0.469396339,-0.201095071,-0.880799765,-0.929850119,-0.638613622,-0.455032349,-0.929422611,-0.915954862,-0.342782149,-0.301452218,-0.30119275,-0.249477722,-0.047080635,-0.191313355,-0.02472409,-1.01312742,-0.362210909,0.708765554,-1.01891869,-0.184716455,-1.11788684,-0.254320963,0.61057173,-0.391058285,-0.398575677,-0.277863681,-0.439575815,-0.524110633,-0.05293449,-0.533888914
1.22864646,0.766638223,-0.81157264,-0.819625192,-0.970429874,-0.854665368,-0.942424375,-1.19545749,-1.09140734,-1.3040048,-1.26639198,-1.1286001,-1.16729415,-0.473522282,-0.148133505,0.576596511,-0.808101394,-0.574575715,1.37789131,-1.24523802,-0.016356826,-0.705912968,0.496682001,0.882836613,-0.360185268,0.09070489,1.39571604,0.215480224,-0.776369232,-0.643326535,-0.858480182,-0.973721536,-0.616430672,-0.499558063,0.264557806,0.237220653,0.281621203,0.259637622,1.69815701,1.27300564,-0.569068694,-0.617118231,-0.724283114,0.345859589,-0.629058898,-0.171880319,-1.11788684,-0.658338155,-1.06684861,-0.428436372,-0.41458453,-0.072690725,-0.439575815,-0.524110633,-0.05293449,-0.533888914
0.635785365,-0.318181432,-0.784276845,-0.797326239,-0.743125259,-0.822422009,-1.05221841,-1.13005983,-1.1241295,-1.19017481,-1.32470308,-1.14343527,-1.12226813,-0.176118632,0.003879045,-0.368828651,0.186784214,0.023700719,0.367300533,-2.21759735,-0.338160721,-0.245194666,-0.428163978,1.51923858,0.693517605,0.449215443,0.678706116,-0.057093734,-0.983876006,-0.893117802,-0.887165888,-0.94810969,-0.919865803,-0.826575413,-0.325190609,-0.542715363,-0.074948433,0.214195051,1.48190824,1.22087008,-0.49578848,-0.866013164,-0.739429934,1.07888626,-0.854568215,-0.177696973,-1.11788684,-0.675247632,0.61057173,-0.471154185,-0.478619939,-0.487913301,-0.439575815,-0.359658502,0.063119665,-0.533888914
0.858524331,0.458024236,0.237902843,-0.680805202,-0.656321078,-0.481245696,-0.657030724,-0.730135128,-0.64723073,-0.857833995,-0.857757812,-0.876775526,-0.853146042,0.503270493,0.854294861,-0.15447517,1.1646339,-0.00808128,0.540196918,-0.052649916,-0.750908258,-0.206819681,-0.850849644,1.01541884,1.44702198,0.45307729,0.339754886,-0.741100082,-0.888784265,-0.718479741,-0.960639977,-0.940374771,-0.73925155,-0.635615837,-0.686170275,-0.752448723,-0.628163195,-0.447210486,0.418323569,0.022480171,-1.13919064,-1.65851053,-1.57555341,-0.067271489,-1.02226964,-0.124392789,-1.36826682,-0.482590286,0.191216644,-0.407077465,-0.409248246,-1.05887334,-0.439575815,0.914845513,0.962539372,-0.533888914
0.846664837,0.349822181,-0.318922573,-0.977535868,-1.0349818,-1.28047185,-1.27783648,-1.26072858,-1.27217358,-1.32183377,-1.54903445,-1.51968645,-1.43101013,-0.348122653,-0.617484186,-0.891173784,-0.506820336,-0.034531676,0.160237521,-1.65527071,0.19342251,-1.69714984,-0.59282036,1.08102063,1.75348591,0.578138596,1.27941573,-0.159951832,-1.06148926,-1.02354424,-0.891439297,-0.953627753,-0.977927912,-0.887476243,-0.327192436,-0.463436978,-0.144705593,0.068343502,1.12256415,0.6722317,-0.808832223,-0.966585478,-1.05540077,0.487221582,-1.10973519,-0.171880319,-1.11788684,-1.19424883,0.61057173,-0.583288445,-0.590681904,-1.14439353,-0.439575815,-0.510406289,-0.043263311,-0.533888914
